%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0255     1.6329e-13              0    -5.2906e-14              0     4.2492e-14              0     5.2906e-14              0    -2.8768e-14
    0.0258     1.5881e-13              0    -6.6003e-14              0     4.0964e-14              0     6.6003e-14              0    -3.9044e-14
    0.0261     1.5749e-13              0    -8.0667e-14              0     3.8908e-14              0     8.0667e-14              0     -4.333e-14
    0.0264     1.5953e-13              0    -9.5629e-14              0     3.6613e-14              0     9.5629e-14              0     -4.115e-14
    0.0267     1.6484e-13              0    -1.0959e-13              0     3.4396e-14              0     1.0959e-13              0    -3.2598e-14
     0.027     1.7301e-13              0    -1.2134e-13              0      3.257e-14              0     1.2134e-13              0     -1.834e-14
    0.0273     1.8341e-13              0    -1.2985e-13              0      3.142e-14              0     1.2985e-13              0     4.5183e-16
    0.0276     1.9518e-13              0    -1.3439e-13              0     3.1174e-14              0     1.3439e-13              0     2.2197e-14
    0.0279     2.0735e-13              0    -1.3459e-13              0     3.1985e-14              0     1.3459e-13              0      4.505e-14
    0.0282     2.1891e-13              0    -1.3045e-13              0     3.3913e-14              0     1.3045e-13              0     6.7064e-14
    0.0285     2.2891e-13              0    -1.2237e-13              0     3.6924e-14              0     1.2237e-13              0     8.6364e-14
    0.0288     2.3654e-13              0    -1.1111e-13              0      4.089e-14              0     1.1111e-13              0     1.0132e-13
    0.0291     2.4118e-13              0    -9.7693e-14              0     4.5601e-14              0     9.7693e-14              0     1.1068e-13
    0.0294     2.4251e-13              0    -8.3368e-14              0     5.0783e-14              0     8.3368e-14              0      1.137e-13
    0.0297     2.4048e-13              0    -6.9454e-14              0     5.6122e-14              0     6.9454e-14              0     1.1021e-13
      0.03     2.3536e-13              0     -5.724e-14              0     6.1294e-14              0      5.724e-14              0     1.0063e-13
    0.0303      2.277e-13              0    -4.7865e-14              0     6.5991e-14              0     4.7865e-14              0     8.5902e-14
    0.0306     2.1827e-13              0    -4.2221e-14              0     6.9951e-14              0     4.2221e-14              0     6.7476e-14
    0.0309     2.0803e-13              0    -4.0863e-14              0      7.298e-14              0     4.0863e-14              0     4.7116e-14
    0.0312     1.9798e-13              0    -4.3967e-14              0     7.4972e-14              0     4.3967e-14              0     2.6778e-14
    0.0315     1.8914e-13              0    -5.1309e-14              0     7.5916e-14              0     5.1309e-14              0     8.4236e-15
    0.0318     1.8242e-13              0    -6.2282e-14              0     7.5898e-14              0     6.2282e-14              0    -6.1518e-15
    0.0321     1.7854e-13              0    -7.5954e-14              0     7.5096e-14              0     7.5954e-14              0    -1.5483e-14
    0.0324     1.7796e-13              0    -9.1145e-14              0     7.3761e-14              0     9.1145e-14              0    -1.8565e-14
    0.0327     1.8087e-13              0    -1.0654e-13              0     7.2197e-14              0     1.0654e-13              0    -1.4949e-14
     0.033     1.8714e-13              0    -1.2079e-13              0     7.0731e-14              0     1.2079e-13              0    -4.7786e-15
    0.0333     1.9634e-13              0    -1.3266e-13              0     6.9689e-14              0     1.3266e-13              0     1.1217e-14
    0.0336     2.0776e-13              0    -1.4111e-13              0     6.9362e-14              0     1.4111e-13              0     3.1788e-14
    0.0339     2.2053e-13              0    -1.4541e-13              0     6.9981e-14              0     1.4541e-13              0     5.5272e-14
    0.0342     2.3361e-13              0     -1.452e-13              0     7.1696e-14              0      1.452e-13              0     7.9745e-14
    0.0345     2.4597e-13              0    -1.4051e-13              0     7.4564e-14              0     1.4051e-13              0     1.0319e-13
    0.0348     2.5663e-13              0    -1.3181e-13              0      7.854e-14              0     1.3181e-13              0     1.2369e-13
    0.0351     2.6474e-13              0    -1.1987e-13              0     8.3485e-14              0     1.1987e-13              0     1.3956e-13
    0.0354     2.6971e-13              0    -1.0581e-13              0     8.9173e-14              0     1.0581e-13              0     1.4956e-13
    0.0357     2.7121e-13              0     -9.091e-14              0     9.5316e-14              0      9.091e-14              0     1.5296e-13
     0.036     2.6923e-13              0    -7.6541e-14              0     1.0159e-13              0     7.6541e-14              0     1.4962e-13
    0.0363     2.6408e-13              0    -6.4028e-14              0     1.0765e-13              0     6.4028e-14              0     1.4001e-13
    0.0366     2.5634e-13              0    -5.4534e-14              0     1.1318e-13              0     5.4534e-14              0     1.2518e-13
    0.0369     2.4683e-13              0    -4.8956e-14              0     1.1791e-13              0     4.8956e-14              0     1.0663e-13
    0.0372     2.3656e-13              0     -4.784e-14              0     1.2166e-13              0      4.784e-14              0     8.6214e-14
    0.0375     2.2658e-13              0    -5.1335e-14              0     1.2431e-13              0     5.1335e-14              0      6.597e-14
    0.0378     2.1794e-13              0    -5.9177e-14              0     1.2586e-13              0     5.9177e-14              0     4.7921e-14
    0.0381     2.1156e-13              0     -7.071e-14              0     1.2642e-13              0      7.071e-14              0     3.3905e-14
    0.0384     2.0817e-13              0    -8.4944e-14              0     1.2616e-13              0     8.4944e-14              0     2.5407e-14
    0.0387     2.0825e-13              0    -1.0064e-13              0     1.2537e-13              0     1.0064e-13              0     2.3427e-14
     0.039     2.1195e-13              0    -1.1644e-13              0     1.2434e-13              0     1.1644e-13              0     2.8386e-14
    0.0393      2.191e-13              0    -1.3094e-13              0     1.2344e-13              0     1.3094e-13              0     4.0088e-14
    0.0396     2.2923e-13              0    -1.4289e-13              0     1.2299e-13              0     1.4289e-13              0     5.7734e-14
    0.0399      2.416e-13              0    -1.5121e-13              0     1.2329e-13              0     1.5121e-13              0     7.9991e-14
    0.0402     2.5526e-13              0     -1.552e-13              0     1.2458e-13              0      1.552e-13              0     1.0511e-13
    0.0405     2.6916e-13              0     -1.545e-13              0     1.2701e-13              0      1.545e-13              0     1.3109e-13
    0.0408     2.8219e-13              0    -1.4919e-13              0     1.3062e-13              0     1.4919e-13              0     1.5584e-13
    0.0411     2.9336e-13              0    -1.3977e-13              0     1.3536e-13              0     1.3977e-13              0     1.7737e-13
    0.0414     3.0182e-13              0    -1.2708e-13              0     1.4109e-13              0     1.2708e-13              0     1.9399e-13
    0.0417     3.0695e-13              0    -1.1229e-13              0     1.4755e-13              0     1.1229e-13              0     2.0444e-13
     0.042     3.0846e-13              0    -9.6741e-14              0     1.5445e-13              0     9.6741e-14              0       2.08e-13
    0.0423     3.0635e-13              0    -8.1853e-14              0     1.6144e-13              0     8.1853e-14              0     2.0458e-13
    0.0426     3.0097e-13              0    -6.8989e-14              0     1.6818e-13              0     6.8989e-14              0     1.9471e-13
