%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0272     8.9131e-10     1.0272e-29              0              0     8.9131e-10              0              0              0     6.4554e-10
    0.0274      9.326e-10     9.0544e-30              0              0      9.326e-10              0              0              0     6.2204e-10
    0.0276     9.7007e-10     7.4689e-30              0              0     9.7007e-10              0              0              0     5.9816e-10
    0.0278     1.0033e-09     5.6673e-30              0              0     1.0033e-09              0              0              0     5.7398e-10
     0.028     1.0321e-09     3.7961e-30              0              0     1.0321e-09              0              0              0     5.4956e-10
    0.0282     1.0561e-09     1.9883e-30              0              0     1.0561e-09              0              0              0     5.2497e-10
    0.0284     1.0751e-09     3.5672e-31              0              0     1.0751e-09              0              0              0     5.0029e-10
    0.0286     1.0889e-09    -1.0111e-30              0              0     1.0889e-09              0              0              0     4.7558e-10
    0.0288     1.0975e-09    -2.0548e-30              0              0     1.0975e-09              0              0              0     4.5094e-10
     0.029     1.1008e-09    -2.7424e-30              0              0     1.1008e-09              0              0              0     4.2644e-10
    0.0292     1.0988e-09    -3.0686e-30              0              0     1.0988e-09              0              0              0     4.0215e-10
    0.0294     1.0917e-09    -3.0521e-30              0              0     1.0917e-09              0              0              0     3.7815e-10
    0.0296     1.0795e-09    -2.7316e-30              0              0     1.0795e-09              0              0              0     3.5453e-10
    0.0298     1.0625e-09    -2.1612e-30              0              0     1.0625e-09              0              0              0     3.3135e-10
      0.03      1.041e-09    -1.4053e-30              0              0      1.041e-09              0              0              0      3.087e-10
    0.0302     1.0151e-09    -5.3317e-31              0              0     1.0151e-09              0              0              0     2.8664e-10
    0.0304     9.8534e-10     3.8569e-31              0              0     9.8534e-10              0              0              0     2.6523e-10
    0.0306     9.5199e-10     1.2862e-30              0              0     9.5199e-10              0              0              0     2.4454e-10
    0.0308     9.1549e-10      2.111e-30              0              0     9.1549e-10              0              0              0     2.2463e-10
     0.031     8.7627e-10     2.8138e-30              0              0     8.7627e-10              0              0              0     2.0555e-10
    0.0312     8.3475e-10     3.3605e-30              0              0     8.3475e-10              0              0              0     1.8733e-10
    0.0314     7.9141e-10     3.7305e-30              0              0     7.9141e-10              0              0              0     1.7002e-10
    0.0316      7.467e-10     3.9166e-30              0              0      7.467e-10              0              0              0     1.5365e-10
    0.0318     7.0105e-10     3.9239e-30              0              0     7.0105e-10              0              0              0     1.3823e-10
     0.032     6.5492e-10     3.7685e-30              0              0     6.5492e-10              0              0              0      1.238e-10
    0.0322     6.0873e-10     3.4752e-30              0              0     6.0873e-10              0              0              0     1.1034e-10
    0.0324     5.6286e-10     3.0754e-30              0              0     5.6286e-10              0              0              0     9.7873e-11
    0.0326      5.177e-10     2.6041e-30              0              0      5.177e-10              0              0              0     8.6389e-11
    0.0328     4.7359e-10     2.0978e-30              0              0     4.7359e-10              0              0              0     7.5878e-11
     0.033     4.3082e-10     1.5915e-30              0              0     4.3082e-10              0              0              0     6.6328e-11
    0.0332     3.8967e-10     1.1175e-30              0              0     3.8967e-10              0              0              0     5.7719e-11
    0.0334     3.5037e-10     7.0269e-31              0              0     3.5037e-10              0              0              0     5.0029e-11
    0.0336     3.1311e-10     3.6808e-31              0              0     3.1311e-10              0              0              0     4.3234e-11
    0.0338     2.7803e-10     1.2763e-31              0              0     2.7803e-10              0              0              0     3.7307e-11
     0.034     2.4526e-10    -1.1844e-32              0              0     2.4526e-10              0              0              0      3.222e-11
    0.0342     2.1487e-10    -5.0519e-32              0              0     2.1487e-10              0              0              0     2.7944e-11
