%        w           SY11           SY12           SY13           SY21           SY22           SY23           SY31           SY32           SY33
       127              0     -0.0064393              0     -0.0064393              0     -0.0030664              0     -0.0030664              0
       128              0     -0.0077231              0     -0.0077231              0     -0.0036071              0     -0.0036071              0
       129              0     -0.0089495              0     -0.0089495              0       -0.00412              0       -0.00412              0
       130              0      -0.010105              0      -0.010105              0      -0.004598              0      -0.004598              0
       131              0      -0.011179              0      -0.011179              0     -0.0050363              0     -0.0050363              0
       132              0      -0.012158              0      -0.012158              0     -0.0054306              0     -0.0054306              0
       133              0      -0.013031              0      -0.013031              0     -0.0057758              0     -0.0057758              0
       134              0       -0.01379              0       -0.01379              0     -0.0060683              0     -0.0060683              0
       135              0      -0.014425              0      -0.014425              0      -0.006304              0      -0.006304              0
       136              0      -0.014928              0      -0.014928              0     -0.0064801              0     -0.0064801              0
       137              0      -0.015293              0      -0.015293              0     -0.0065943              0     -0.0065943              0
       138              0      -0.015514              0      -0.015514              0     -0.0066443              0     -0.0066443              0
       139              0      -0.015588              0      -0.015588              0     -0.0066291              0     -0.0066291              0
       140              0      -0.015513              0      -0.015513              0     -0.0065481              0     -0.0065481              0
       141              0      -0.015286              0      -0.015286              0     -0.0064014              0     -0.0064014              0
       142              0       -0.01491              0       -0.01491              0     -0.0061899              0     -0.0061899              0
       143              0      -0.014386              0      -0.014386              0     -0.0059147              0     -0.0059147              0
       144              0      -0.013717              0      -0.013717              0     -0.0055784              0     -0.0055784              0
       145              0       -0.01291              0       -0.01291              0     -0.0051835              0     -0.0051835              0
       146              0       -0.01197              0       -0.01197              0     -0.0047335              0     -0.0047335              0
       147              0      -0.010905              0      -0.010905              0     -0.0042325              0     -0.0042325              0
       148              0      -0.009725              0      -0.009725              0     -0.0036851              0     -0.0036851              0
       149              0     -0.0084404              0     -0.0084404              0     -0.0030964              0     -0.0030964              0
       150              0      -0.007063              0      -0.007063              0     -0.0024718              0     -0.0024718              0
       151              0     -0.0056056              0     -0.0056056              0     -0.0018178              0     -0.0018178              0
       152              0     -0.0040819              0     -0.0040819              0     -0.0011405              0     -0.0011405              0
       153              0     -0.0025065              0     -0.0025065              0    -0.00044688              0    -0.00044688              0
       154              0    -0.00089475              0    -0.00089475              0     0.00025645              0     0.00025645              0
       155              0     0.00073772              0     0.00073772              0     0.00096206              0     0.00096206              0
       156              0      0.0023748              0      0.0023748              0      0.0016631              0      0.0016631              0
       157              0      0.0040001              0      0.0040001              0      0.0023519              0      0.0023519              0
       158              0      0.0055974              0      0.0055974              0      0.0030218              0      0.0030218              0
       159              0      0.0071504              0      0.0071504              0      0.0036656              0      0.0036656              0
       160              0      0.0086432              0      0.0086432              0      0.0042761              0      0.0042761              0
       161              0       0.010061              0       0.010061              0      0.0048473              0      0.0048473              0
       162              0       0.011387              0       0.011387              0       0.005373              0       0.005373              0
       163              0        0.01261              0        0.01261              0      0.0058468              0      0.0058468              0
       164              0       0.013715              0       0.013715              0      0.0062643              0      0.0062643              0
       165              0       0.014691              0       0.014691              0      0.0066201              0      0.0066201              0
       166              0       0.015526              0       0.015526              0      0.0069106              0      0.0069106              0
       167              0       0.016212              0       0.016212              0      0.0071319              0      0.0071319              0
       168              0       0.016741              0       0.016741              0      0.0072816              0      0.0072816              0
       169              0       0.017105              0       0.017105              0      0.0073575              0      0.0073575              0
       170              0         0.0173              0         0.0173              0      0.0073583              0      0.0073583              0
       171              0       0.017324              0       0.017324              0      0.0072834              0      0.0072834              0
       172              0       0.017173              0       0.017173              0      0.0071332              0      0.0071332              0
       173              0        0.01685              0        0.01685              0      0.0069087              0      0.0069087              0
       174              0       0.016356              0       0.016356              0      0.0066117              0      0.0066117              0
       175              0       0.015694              0       0.015694              0      0.0062448              0      0.0062448              0
       176              0       0.014871              0       0.014871              0      0.0058114              0      0.0058114              0
       177              0       0.013893              0       0.013893              0      0.0053155              0      0.0053155              0
       178              0        0.01277              0        0.01277              0       0.004762              0       0.004762              0
       179              0       0.011511              0       0.011511              0      0.0041561              0      0.0041561              0
       180              0       0.010129              0       0.010129              0      0.0035038              0      0.0035038              0
       181              0      0.0086367              0      0.0086367              0      0.0028116              0      0.0028116              0
       182              0      0.0070487              0      0.0070487              0      0.0020866              0      0.0020866              0
       183              0      0.0053804              0      0.0053804              0      0.0013359              0      0.0013359              0
       184              0       0.003648              0       0.003648              0     0.00056727              0     0.00056727              0
       185              0      0.0018688              0      0.0018688              0    -0.00021142              0    -0.00021142              0
       186              0     6.0469e-05              0     6.0469e-05              0    -0.00099221              0    -0.00099221              0
       187              0     -0.0017589              0     -0.0017589              0     -0.0017669              0     -0.0017669              0
       188              0      -0.003571              0      -0.003571              0     -0.0025273              0     -0.0025273              0
       189              0     -0.0053575              0     -0.0053575              0     -0.0032656              0     -0.0032656              0
       190              0        -0.0071              0        -0.0071              0      -0.003974              0      -0.003974              0
       191              0     -0.0087808              0     -0.0087808              0     -0.0046448              0     -0.0046448              0
       192              0      -0.010382              0      -0.010382              0     -0.0052708              0     -0.0052708              0
       193              0      -0.011888              0      -0.011888              0     -0.0058454              0     -0.0058454              0
       194              0      -0.013283              0      -0.013283              0     -0.0063622              0     -0.0063622              0
       195              0       -0.01455              0       -0.01455              0     -0.0068155              0     -0.0068155              0
       196              0      -0.015679              0      -0.015679              0     -0.0072002              0     -0.0072002              0
       197              0      -0.016655              0      -0.016655              0      -0.007512              0      -0.007512              0
       198              0      -0.017468              0      -0.017468              0     -0.0077472              0     -0.0077472              0
       199              0       -0.01811              0       -0.01811              0     -0.0079031              0     -0.0079031              0
       200              0      -0.018572              0      -0.018572              0     -0.0079774              0     -0.0079774              0
       201              0       -0.01885              0       -0.01885              0      -0.007969              0      -0.007969              0
       202              0      -0.018939              0      -0.018939              0     -0.0078776              0     -0.0078776              0
       203              0      -0.018837              0      -0.018837              0     -0.0077037              0     -0.0077037              0
       204              0      -0.018546              0      -0.018546              0     -0.0074487              0     -0.0074487              0
       205              0      -0.018065              0      -0.018065              0     -0.0071149              0     -0.0071149              0
       206              0      -0.017401              0      -0.017401              0     -0.0067052              0     -0.0067052              0
       207              0      -0.016557              0      -0.016557              0     -0.0062237              0     -0.0062237              0
       208              0      -0.015543              0      -0.015543              0      -0.005675              0      -0.005675              0
       209              0      -0.014367              0      -0.014367              0     -0.0050644              0     -0.0050644              0
       210              0       -0.01304              0       -0.01304              0     -0.0043981              0     -0.0043981              0
       211              0      -0.011576              0      -0.011576              0     -0.0036827              0     -0.0036827              0
       212              0     -0.0099874              0     -0.0099874              0     -0.0029254              0     -0.0029254              0
       213              0      -0.008291              0      -0.008291              0      -0.002134              0      -0.002134              0
       214              0      -0.006503              0      -0.006503              0     -0.0013165              0     -0.0013165              0
       215              0      -0.004641              0      -0.004641              0    -0.00048128              0    -0.00048128              0
       216              0     -0.0027234              0     -0.0027234              0       0.000363              0       0.000363              0
       217              0    -0.00076924              0    -0.00076924              0      0.0012075              0      0.0012075              0
       218              0      0.0012019              0      0.0012019              0      0.0020436              0      0.0020436              0
       219              0      0.0031703              0      0.0031703              0      0.0028625              0      0.0028625              0
       220              0      0.0051161              0      0.0051161              0      0.0036555              0      0.0036555              0
       221              0      0.0070197              0      0.0070197              0      0.0044143              0      0.0044143              0
       222              0      0.0088617              0      0.0088617              0      0.0051309              0      0.0051309              0
       223              0       0.010624              0       0.010624              0      0.0057976              0      0.0057976              0
       224              0       0.012287              0       0.012287              0      0.0064074              0      0.0064074              0
       225              0       0.013836              0       0.013836              0      0.0069535              0      0.0069535              0
       226              0       0.015253              0       0.015253              0      0.0074302              0      0.0074302              0
       227              0       0.016524              0       0.016524              0      0.0078321              0      0.0078321              0
       228              0       0.017636              0       0.017636              0      0.0081548              0      0.0081548              0
       229              0       0.018577              0       0.018577              0      0.0083947              0      0.0083947              0
       230              0       0.019338              0       0.019338              0       0.008549              0       0.008549              0
       231              0       0.019909              0       0.019909              0      0.0086157              0      0.0086157              0
       232              0       0.020286              0       0.020286              0      0.0085939              0      0.0085939              0
       233              0       0.020462              0       0.020462              0      0.0084834              0      0.0084834              0
       234              0       0.020437              0       0.020437              0      0.0082852              0      0.0082852              0
       235              0        0.02021              0        0.02021              0       0.008001              0       0.008001              0
       236              0       0.019782              0       0.019782              0      0.0076334              0      0.0076334              0
       237              0       0.019158              0       0.019158              0      0.0071861              0      0.0071861              0
       238              0       0.018343              0       0.018343              0      0.0066633              0      0.0066633              0
       239              0       0.017344              0       0.017344              0      0.0060704              0      0.0060704              0
       240              0       0.016172              0       0.016172              0      0.0054133              0      0.0054133              0
       241              0       0.014837              0       0.014837              0      0.0046985              0      0.0046985              0
       242              0       0.013354              0       0.013354              0      0.0039335              0      0.0039335              0
       243              0       0.011735              0       0.011735              0      0.0031259              0      0.0031259              0
       244              0      0.0099974              0      0.0099974              0       0.002284              0       0.002284              0
       245              0       0.008158              0       0.008158              0      0.0014165              0      0.0014165              0
       246              0       0.006235              0       0.006235              0     0.00053225              0     0.00053225              0
       247              0      0.0042473              0      0.0042473              0    -0.00035953              0    -0.00035953              0
       248              0      0.0022146              0      0.0022146              0     -0.0012496              0     -0.0012496              0
       249              0     0.00015725              0     0.00015725              0     -0.0021289              0     -0.0021289              0
       250              0     -0.0019045              0     -0.0019045              0     -0.0029881              0     -0.0029881              0
       251              0       -0.00395              0       -0.00395              0     -0.0038184              0     -0.0038184              0
       252              0      -0.005959              0      -0.005959              0      -0.004611              0      -0.004611              0
       253              0     -0.0079115              0     -0.0079115              0     -0.0053577              0     -0.0053577              0
       254              0     -0.0097881              0     -0.0097881              0     -0.0060508              0     -0.0060508              0
       255              0       -0.01157              0       -0.01157              0     -0.0066828              0     -0.0066828              0
       256              0      -0.013239              0      -0.013239              0     -0.0072472              0     -0.0072472              0
       257              0       -0.01478              0       -0.01478              0     -0.0077381              0     -0.0077381              0
       258              0      -0.016176              0      -0.016176              0     -0.0081503              0     -0.0081503              0
       259              0      -0.017414              0      -0.017414              0     -0.0084793              0     -0.0084793              0
