%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
        94    -2.4474e-10             -0     -8.977e-11             -0     1.5346e-10              0     1.2509e-10              0      5.566e-10
        95    -2.5554e-10             -0    -9.2409e-11             -0     2.1886e-10              0     1.2264e-10              0      5.912e-10
        96    -2.6387e-10             -0    -9.3793e-11             -0     2.8227e-10              0     1.1872e-10              0      6.192e-10
        97     -2.697e-10             -0    -9.3922e-11             -0     3.4317e-10              0     1.1328e-10              0     6.4072e-10
        98    -2.7311e-10             -0    -9.2893e-11             -0     4.0087e-10              0     1.0634e-10              0     6.5526e-10
        99     -2.741e-10             -0     -9.073e-11             -0     4.5489e-10              0     9.7902e-11              0     6.6306e-10
       100     -2.728e-10             -0    -8.7554e-11             -0     5.0461e-10              0     8.8003e-11              0     6.6379e-10
       101    -2.6925e-10             -0     -8.341e-11             -0     5.4962e-10              0     7.6702e-11              0     6.5784e-10
       102    -2.6359e-10             -0    -7.8416e-11             -0     5.8945e-10              0     6.4073e-11              0     6.4519e-10
       103    -2.5597e-10             -0      -7.27e-11             -0     6.2366e-10              0     5.0211e-11              0     6.2589e-10
       104    -2.4649e-10             -0    -6.6324e-11             -0     6.5199e-10              0      3.523e-11              0     6.0052e-10
       105    -2.3535e-10             -0    -5.9452e-11             -0     6.7408e-10              0      1.926e-11              0     5.6912e-10
       106    -2.2268e-10             -0    -5.2148e-11             -0     6.8979e-10              0     2.4442e-12              0     5.3238e-10
       107    -2.0869e-10             -0    -4.4588e-11             -0      6.989e-10              0    -1.5056e-11             -0     4.9047e-10
       108    -1.9358e-10             -0    -3.6902e-11             -0     7.0112e-10              0    -3.2994e-11             -0     4.4375e-10
       109    -1.7756e-10             -0    -2.9308e-11             -0     6.9638e-10              0    -5.1187e-11             -0     3.9253e-10
       110    -1.6072e-10             -0    -2.1783e-11             -0     6.8505e-10              0    -6.9544e-11             -0     3.3807e-10
       111    -1.4328e-10             -0    -1.4462e-11             -0     6.6722e-10              0     -8.788e-11             -0     2.8085e-10
       112    -1.2544e-10             -0     -7.469e-12             -0      6.431e-10              0    -1.0601e-10             -0      2.215e-10
       113    -1.0738e-10             -0    -8.4044e-13             -0     6.1288e-10              0    -1.2374e-10             -0     1.6072e-10
       114    -8.9302e-11             -0     5.2871e-12             -0     5.7692e-10              0     -1.409e-10             -0     9.9128e-11
       115    -7.1391e-11             -0     1.0889e-11             -0      5.355e-10              0     -1.573e-10             -0     3.7373e-11
       116    -5.3823e-11             -0     1.5852e-11             -0     4.8911e-10              0    -1.7276e-10             -0    -2.3876e-11
       117    -3.6773e-11             -0     2.0134e-11             -0      4.382e-10              0    -1.8713e-10             -0    -8.3972e-11
       118    -2.0425e-11             -0     2.3726e-11             -0     3.8315e-10              0    -2.0023e-10             -0    -1.4242e-10
       119    -4.9121e-12             -0     2.6544e-11             -0     3.2464e-10              0    -2.1193e-10             -0    -1.9853e-10
       120     9.5988e-12              0     2.8594e-11              0     2.6313e-10              0    -2.2209e-10             -0    -2.5185e-10
