%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
       164     -0.0036165              0    -0.00080702              0      0.0027603              0    -0.00080702              0      0.0094711
       165     -0.0028776              0     -0.0011533              0      0.0026575              0     -0.0011533              0      0.0095542
       166     -0.0020827              0      -0.001488              0      0.0025386              0      -0.001488              0      0.0095653
       167     -0.0012368              0     -0.0018077              0      0.0024057              0     -0.0018077              0      0.0095046
       168    -0.00034563              0     -0.0021084              0       0.002261              0     -0.0021084              0       0.009373
       169     0.00058446              0     -0.0023866              0      0.0021069              0     -0.0023866              0      0.0091722
       170      0.0015468              0     -0.0026388              0      0.0019458              0     -0.0026388              0      0.0089043
       171      0.0025342              0     -0.0028618              0      0.0017799              0     -0.0028618              0       0.008572
       172      0.0035391              0     -0.0030527              0      0.0016116              0     -0.0030527              0      0.0081785
       173      0.0045536              0     -0.0032086              0      0.0014433              0     -0.0032086              0      0.0077276
       174      0.0055697              0     -0.0033271              0      0.0012772              0     -0.0033271              0      0.0072237
       175      0.0065791              0     -0.0034063              0      0.0011155              0     -0.0034063              0      0.0066715
       176      0.0075733              0     -0.0034445              0     0.00096027              0     -0.0034445              0      0.0060761
       177       0.008544              0     -0.0034403              0     0.00081344              0     -0.0034403              0      0.0054431
       178      0.0094829              0     -0.0033929              0     0.00067679              0     -0.0033929              0      0.0047781
       179       0.010382              0     -0.0033019              0     0.00055196              0     -0.0033019              0      0.0040874
       180       0.011232              0     -0.0031674              0     0.00044037              0     -0.0031674              0      0.0033772
       181       0.012027              0     -0.0029899              0     0.00034324              0     -0.0029899              0      0.0026538
       182       0.012759              0     -0.0027704              0     0.00026163              0     -0.0027704              0      0.0019238
       183        0.01342              0     -0.0025103              0     0.00019633              0     -0.0025103              0      0.0011937
       184       0.014005              0     -0.0022116              0     0.00014791              0     -0.0022116              0      0.0004699
       185       0.014506              0     -0.0018767              0      0.0001167              0     -0.0018767              0    -0.00024116
       186        0.01492              0     -0.0015083              0     0.00010281              0     -0.0015083              0    -0.00093334
       187       0.015242              0     -0.0011098              0     0.00010611              0     -0.0011098              0     -0.0016007
       188       0.015466              0    -0.00068466              0     0.00012624              0    -0.00068466              0     -0.0022375
       189       0.015591              0    -0.00023696              0     0.00016261              0    -0.00023696              0     -0.0028384
       190       0.015613              0     0.00022903              0      0.0002144              0     0.00022903              0     -0.0033983
       191       0.015532              0     0.00070865              0     0.00028061              0     0.00070865              0     -0.0039129
       192       0.015346              0      0.0011971              0     0.00036003              0      0.0011971              0     -0.0043779
       193       0.015055              0      0.0016893              0     0.00045124              0      0.0016893              0       -0.00479
       194       0.014661              0        0.00218              0     0.00055272              0        0.00218              0     -0.0051458
       195       0.014165              0      0.0026641              0     0.00066275              0      0.0026641              0     -0.0054432
       196       0.013571              0      0.0031359              0     0.00077951              0      0.0031359              0     -0.0056802
       197        0.01288              0      0.0035903              0     0.00090107              0      0.0035903              0     -0.0058556
       198       0.012098              0       0.004022              0      0.0010254              0       0.004022              0     -0.0059687
       199        0.01123              0      0.0044258              0      0.0011505              0      0.0044258              0     -0.0060196
       200       0.010281              0      0.0047966              0      0.0012742              0      0.0047966              0     -0.0060089
       201      0.0092588              0      0.0051296              0      0.0013944              0      0.0051296              0     -0.0059377
       202      0.0081695              0      0.0054206              0       0.001509              0      0.0054206              0      -0.005808
       203      0.0070211              0      0.0056651              0      0.0016159              0      0.0056651              0     -0.0056221
       204      0.0058218              0      0.0058595              0      0.0017132              0      0.0058595              0     -0.0053829
       205      0.0045804              0      0.0060004              0       0.001799              0      0.0060004              0     -0.0050939
       206      0.0033057              0      0.0060849              0      0.0018714              0      0.0060849              0     -0.0047591
       207      0.0020071              0      0.0061105              0      0.0019288              0      0.0061105              0     -0.0043828
       208      0.0006942              0      0.0060755              0      0.0019697              0      0.0060755              0     -0.0039696
       209    -0.00062341              0      0.0059786              0      0.0019927              0      0.0059786              0     -0.0035249
       210      -0.001936              0      0.0058191              0      0.0019966              0      0.0058191              0     -0.0030538
       211      -0.003234              0      0.0055969              0      0.0019806              0      0.0055969              0     -0.0025619
