%     time           SY11           SY12           SY13           SY22           SY23           SY33
    0.1354              0              0    -1.0611e-21              0     0.00092541              0
    0.1356              0              0      -1.06e-21              0     0.00098797              0
    0.1358              0              0    -1.0588e-21              0      0.0010473              0
     0.136              0              0    -1.0577e-21              0      0.0011025              0
    0.1362              0              0    -1.0565e-21              0      0.0011525              0
    0.1364              0              0    -1.0554e-21              0      0.0011964              0
    0.1366              0              0    -1.0542e-21              0      0.0012333              0
    0.1368              0              0     -1.053e-21              0      0.0012623              0
     0.137              0              0    -1.0518e-21              0      0.0012828              0
    0.1372              0              0    -1.0506e-21              0      0.0012939              0
    0.1374              0              0    -1.0494e-21              0      0.0012952              0
    0.1376              0              0    -1.0482e-21              0      0.0012862              0
    0.1378              0              0     -1.047e-21              0      0.0012665              0
     0.138              0              0    -1.0458e-21              0      0.0012361              0
    0.1382              0              0    -1.0446e-21              0      0.0011949              0
    0.1384              0              0    -1.0434e-21              0       0.001143              0
    0.1386              0              0    -1.0423e-21              0      0.0010809              0
    0.1388              0              0    -1.0411e-21              0      0.0010088              0
     0.139              0              0    -1.0399e-21              0     0.00092758              0
    0.1392              0              0    -1.0387e-21              0     0.00083787              0
    0.1394              0              0    -1.0375e-21              0      0.0007406              0
    0.1396              0              0    -1.0364e-21              0      0.0006368              0
    0.1398              0              0    -1.0352e-21              0     0.00052758              0
      0.14              0              0    -1.0341e-21              0     0.00041417              0
    0.1402              0              0     -1.033e-21              0     0.00029784              0
    0.1404              0              0    -1.0318e-21              0     0.00017991              0
    0.1406              0              0    -1.0307e-21              0     6.1729e-05              0
    0.1408              0              0    -1.0296e-21              0    -5.5371e-05              0
     0.141              0              0    -1.0285e-21              0    -0.00017007              0
    0.1412              0              0    -1.0275e-21              0    -0.00028111              0
    0.1414              0              0    -1.0264e-21              0    -0.00038728              0
    0.1416              0              0    -1.0254e-21              0    -0.00048747              0
    0.1418              0              0    -1.0243e-21              0    -0.00058067              0
     0.142              0              0    -1.0233e-21              0    -0.00066601              0
    0.1422              0              0    -1.0223e-21              0    -0.00074272              0
    0.1424              0              0    -1.0214e-21              0    -0.00081021              0
    0.1426              0              0    -1.0204e-21              0      -0.000868              0
    0.1428              0              0    -1.0195e-21              0     -0.0009158              0
     0.143              0              0    -1.0186e-21              0    -0.00095345              0
    0.1432              0              0    -1.0177e-21              0    -0.00098096              0
    0.1434              0              0    -1.0168e-21              0    -0.00099847              0
    0.1436              0              0     -1.016e-21              0     -0.0010063              0
    0.1438              0              0    -1.0152e-21              0     -0.0010048              0
     0.144              0              0    -1.0144e-21              0    -0.00099455              0
    0.1442              0              0    -1.0136e-21              0    -0.00097618              0
    0.1444              0              0    -1.0129e-21              0    -0.00095041              0
    0.1446              0              0    -1.0122e-21              0    -0.00091802              0
    0.1448              0              0    -1.0115e-21              0    -0.00087985              0
     0.145              0              0    -1.0108e-21              0    -0.00083678              0
    0.1452              0              0    -1.0102e-21              0    -0.00078969              0
    0.1454              0              0    -1.0096e-21              0    -0.00073949              0
    0.1456              0              0     -1.009e-21              0    -0.00068704              0
    0.1458              0              0    -1.0085e-21              0    -0.00063319              0
     0.146              0              0     -1.008e-21              0    -0.00057875              0
    0.1462              0              0    -1.0075e-21              0    -0.00052447              0
    0.1464              0              0     -1.007e-21              0    -0.00047102              0
    0.1466              0              0    -1.0066e-21              0    -0.00041903              0
    0.1468              0              0    -1.0062e-21              0    -0.00036903              0
     0.147              0              0    -1.0058e-21              0    -0.00032148              0
    0.1472              0              0    -1.0054e-21              0    -0.00027676              0
    0.1474              0              0    -1.0051e-21              0    -0.00023516              0
    0.1476              0              0    -1.0048e-21              0    -0.00019689              0
    0.1478              0              0    -1.0045e-21              0    -0.00016209              0
     0.148              0              0    -1.0043e-21              0    -0.00013083              0
    0.1482              0              0    -1.0041e-21              0    -0.00010311              0
    0.1484              0              0    -1.0039e-21              0    -7.8883e-05              0
    0.1486              0              0    -1.0037e-21              0    -5.8027e-05              0
    0.1488              0              0    -1.0036e-21              0    -4.0395e-05              0
     0.149              0              0    -1.0035e-21              0    -2.5798e-05              0
    0.1492              0              0    -1.0034e-21              0     -1.402e-05              0
    0.1494              0              0    -1.0034e-21              0    -4.8254e-06              0
    0.1496              0              0    -1.0033e-21              0     2.0364e-06              0
    0.1498              0              0    -1.0033e-21              0     6.8217e-06              0
      0.15              0              0    -1.0034e-21              0     9.7872e-06              0
    0.1502              0              0    -1.0034e-21              0     1.1185e-05              0
    0.1504              0              0    -1.0035e-21              0     1.1258e-05              0
    0.1506              0              0    -1.0036e-21              0     1.0235e-05              0
    0.1508              0              0    -1.0037e-21              0     8.3314e-06              0
     0.151              0              0    -1.0039e-21              0     5.7417e-06              0
    0.1512              0              0    -1.0041e-21              0     2.6425e-06              0
    0.1514              0              0    -1.0043e-21              0    -8.1022e-07              0
    0.1516              0              0    -1.0045e-21              0    -4.4807e-06              0
    0.1518              0              0    -1.0047e-21              0    -8.2531e-06              0
     0.152              0              0     -1.005e-21              0    -1.2031e-05              0
    0.1522              0              0    -1.0053e-21              0    -1.5734e-05              0
    0.1524              0              0    -1.0056e-21              0    -1.9301e-05              0
    0.1526              0              0     -1.006e-21              0    -2.2684e-05              0
    0.1528              0              0    -1.0063e-21              0    -2.5848e-05              0
     0.153              0              0    -1.0067e-21              0     -2.877e-05              0
    0.1532              0              0    -1.0071e-21              0    -3.1436e-05              0
    0.1534              0              0    -1.0075e-21              0     -3.384e-05              0
    0.1536              0              0     -1.008e-21              0    -3.5983e-05              0
    0.1538              0              0    -1.0084e-21              0    -3.7871e-05              0
     0.154              0              0    -1.0089e-21              0    -3.9513e-05              0
    0.1542              0              0    -1.0094e-21              0    -4.0922e-05              0
    0.1544              0              0    -1.0099e-21              0    -4.2113e-05              0
    0.1546              0              0    -1.0104e-21              0    -4.3101e-05              0
    0.1548              0              0     -1.011e-21              0    -4.3902e-05              0
     0.155              0              0    -1.0115e-21              0    -4.4533e-05              0
    0.1552              0              0    -1.0121e-21              0    -4.5011e-05              0
    0.1554              0              0    -1.0127e-21              0    -4.5352e-05              0
    0.1556              0              0    -1.0133e-21              0    -4.5572e-05              0
    0.1558              0              0    -1.0139e-21              0    -4.5684e-05              0
     0.156              0              0    -1.0146e-21              0    -4.5705e-05              0
    0.1562              0              0    -1.0152e-21              0    -4.5647e-05              0
    0.1564              0              0    -1.0159e-21              0    -4.5524e-05              0
    0.1566              0              0    -1.0166e-21              0    -4.5346e-05              0
    0.1568              0              0    -1.0172e-21              0    -4.5125e-05              0
     0.157              0              0    -1.0179e-21              0     -4.487e-05              0
    0.1572              0              0    -1.0187e-21              0    -4.4591e-05              0
    0.1574              0              0    -1.0194e-21              0    -4.4295e-05              0
    0.1576              0              0    -1.0201e-21              0    -4.3988e-05              0
    0.1578              0              0    -1.0209e-21              0    -4.3677e-05              0
     0.158              0              0    -1.0216e-21              0    -4.3365e-05              0
    0.1582              0              0    -1.0224e-21              0    -4.3055e-05              0
    0.1584              0              0    -1.0231e-21              0    -4.2748e-05              0
    0.1586              0              0    -1.0239e-21              0    -4.2447e-05              0
    0.1588              0              0    -1.0247e-21              0    -4.2149e-05              0
     0.159              0              0    -1.0255e-21              0    -4.1853e-05              0
    0.1592              0              0    -1.0263e-21              0    -4.1558e-05              0
    0.1594              0              0    -1.0271e-21              0    -4.1261e-05              0
    0.1596              0              0    -1.0279e-21              0    -4.0959e-05              0
    0.1598              0              0    -1.0288e-21              0    -4.0647e-05              0
      0.16              0              0    -1.0296e-21              0    -4.0325e-05              0
    0.1602              0              0    -1.0304e-21              0    -3.9989e-05              0
    0.1604              0              0    -1.0312e-21              0    -3.9638e-05              0
    0.1606              0              0    -1.0321e-21              0    -3.9271e-05              0
    0.1608              0              0    -1.0329e-21              0    -3.8891e-05              0
     0.161              0              0    -1.0337e-21              0    -3.8501e-05              0
    0.1612              0              0    -1.0345e-21              0    -3.8105e-05              0
    0.1614              0              0    -1.0354e-21              0    -3.7714e-05              0
    0.1616              0              0    -1.0362e-21              0    -3.7336e-05              0
    0.1618              0              0     -1.037e-21              0    -3.6988e-05              0
     0.162              0              0    -1.0378e-21              0    -3.6687e-05              0
    0.1622              0              0    -1.0386e-21              0    -3.6454e-05              0
    0.1624              0              0    -1.0394e-21              0    -3.6315e-05              0
    0.1626              0              0    -1.0402e-21              0    -3.6297e-05              0
    0.1628              0              0     -1.041e-21              0    -3.6433e-05              0
     0.163              0              0    -1.0418e-21              0    -3.6758e-05              0
    0.1632              0              0    -1.0426e-21              0    -3.7311e-05              0
    0.1634              0              0    -1.0434e-21              0    -3.8134e-05              0
    0.1636              0              0    -1.0441e-21              0    -3.9267e-05              0
    0.1638              0              0    -1.0449e-21              0    -4.0757e-05              0
     0.164              0              0    -1.0456e-21              0    -4.2645e-05              0
    0.1642              0              0    -1.0464e-21              0    -4.4976e-05              0
    0.1644              0              0    -1.0471e-21              0    -4.7787e-05              0
    0.1646              0              0    -1.0478e-21              0    -5.1116e-05              0
    0.1648              0              0    -1.0485e-21              0    -5.4992e-05              0
     0.165              0              0    -1.0492e-21              0    -5.9436e-05              0
    0.1652              0              0    -1.0499e-21              0    -6.4459e-05              0
    0.1654              0              0    -1.0505e-21              0    -7.0061e-05              0
    0.1656              0              0    -1.0512e-21              0    -7.6226e-05              0
