%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
        87     3.6653e-10              0     1.3806e-10              0     -6.149e-10              0     1.1704e-12              0    -6.6858e-10
        88     3.4998e-10              0     1.3012e-10              0    -6.4284e-10              0     9.5301e-12              0    -6.4628e-10
        89     3.3146e-10              0     1.2128e-10              0    -6.6481e-10              0     1.8913e-11              0    -6.1741e-10
        90     3.1121e-10              0     1.1163e-10              0    -6.8037e-10              0     2.9231e-11              0    -5.8203e-10
        91     2.8942e-10              0     1.0136e-10              0    -6.8956e-10              0     4.0369e-11              0     -5.409e-10
        92     2.6632e-10              0     9.0575e-11              0    -6.9205e-10              0     5.2207e-11              0     -4.942e-10
        93     2.4216e-10              0     7.9451e-11              0    -6.8792e-10              0     6.4604e-11              0    -4.4264e-10
        94     2.1714e-10              0     6.8154e-11              0    -6.7731e-10              0     7.7407e-11              0      -3.87e-10
        95     1.9153e-10              0     5.6785e-11              0    -6.6006e-10              0     9.0462e-11              0    -3.2756e-10
        96     1.6555e-10              0     4.5527e-11              0    -6.3659e-10              0     1.0359e-10              0    -2.6536e-10
        97     1.3944e-10              0     3.4471e-11              0    -6.0685e-10              0     1.1664e-10              0    -2.0073e-10
        98     1.1342e-10              0     2.3788e-11              0    -5.7138e-10              0     1.2941e-10              0    -1.3474e-10
        99     8.7737e-11              0     1.3551e-11              0    -5.3026e-10              0     1.4173e-10              0     -6.774e-11
       100     6.2576e-11              0     3.9137e-12              0    -4.8414e-10              0     1.5344e-10              0    -8.2776e-13
       101      3.817e-11              0      -5.07e-12              0     -4.332e-10              0     1.6435e-10              0     6.5669e-11
       102     1.4701e-11              0    -1.3292e-11              0    -3.7807e-10              0     1.7431e-10              0     1.3087e-10
       103    -7.6698e-12              0    -2.0655e-11              0     -3.194e-10              0     1.8314e-10              0     1.9389e-10
       104    -2.8745e-11              0    -2.7141e-11              0    -2.5751e-10              0     1.9072e-10              0     2.5449e-10
       105     -4.841e-11              0    -3.2658e-11              0    -1.9325e-10              0      1.969e-10              0     3.1166e-10
       106    -6.6499e-11              0    -3.7211e-11              0    -1.2698e-10              0     2.0157e-10              0     3.6525e-10
       107    -8.2939e-11              0    -4.0739e-11              0    -5.9618e-11              0     2.0462e-10              0     4.1431e-10
       108     -9.765e-11              0     -4.317e-11              0      8.418e-12              0     2.0601e-10              0     4.5887e-10
       109    -1.1063e-10              0    -4.4497e-11              0      7.614e-11              0     2.0571e-10              0     4.9799e-10
       110    -1.2171e-10              0     -4.489e-11              0     1.4317e-10              0     2.0364e-10              0     5.3168e-10
       111    -1.3088e-10              0    -4.4367e-11              0     2.0874e-10              0     1.9977e-10              0     5.5946e-10
       112    -1.3814e-10              0    -4.2966e-11              0     2.7211e-10              0     1.9411e-10              0     5.8095e-10
       113    -1.4343e-10              0    -4.0753e-11              0     3.3288e-10              0     1.8666e-10              0     5.9638e-10
       114    -1.4682e-10              0    -3.7784e-11              0     3.9027e-10              0     1.7746e-10              0     6.0533e-10
       115     -1.483e-10              0    -3.4129e-11              0      4.439e-10              0     1.6656e-10              0     6.0813e-10
       116    -1.4796e-10              0    -2.9868e-11              0      4.931e-10              0     1.5403e-10              0     6.0452e-10
       117    -1.4586e-10              0    -2.5088e-11              0     5.3745e-10              0     1.3996e-10              0      5.947e-10
       118    -1.4204e-10              0    -1.9855e-11              0     5.7664e-10              0     1.2447e-10              0     5.7919e-10
       119    -1.3665e-10              0    -1.4281e-11              0     6.1016e-10              0     1.0767e-10              0     5.5788e-10
       120    -1.2976e-10              0    -8.4389e-12              0     6.3779e-10              0     8.9707e-11              0     5.3129e-10
       121    -1.2153e-10              0    -2.4432e-12              0     6.5917e-10              0     7.0732e-11              0     4.9958e-10
       122    -1.1209e-10              0     3.6144e-12              0     6.7416e-10              0     5.0904e-11              0     4.6319e-10
       123    -1.0158e-10              0      9.657e-12              0     6.8265e-10              0     3.0406e-11              0     4.2271e-10
       124    -9.0131e-11              0     1.5598e-11              0     6.8455e-10              0     9.4159e-12              0     3.7858e-10
       125    -7.7936e-11              0     2.1326e-11              0     6.7985e-10              0    -1.1875e-11              0     3.3122e-10
       126    -6.5152e-11              0     2.6761e-11              0     6.6861e-10              0    -3.3277e-11              0     2.8118e-10
       127    -5.1943e-11              0     3.1833e-11              0     6.5098e-10              0    -5.4591e-11              0     2.2906e-10
       128    -3.8478e-11              0     3.6473e-11              0     6.2712e-10              0    -7.5619e-11              0     1.7546e-10
       129    -2.4932e-11              0     4.0619e-11              0      5.973e-10              0     -9.617e-11              0     1.2092e-10
       130    -1.1474e-11              0     4.4187e-11              0     5.6182e-10              0    -1.1605e-10              0     6.5993e-11
       131     1.7318e-12              0      4.713e-11              0     5.2106e-10              0    -1.3509e-10              0     1.1257e-11
       132     1.4521e-11              0     4.9413e-11              0     4.7541e-10              0    -1.5309e-10              0    -4.2709e-11
       133     2.6743e-11              0     5.0989e-11              0     4.2536e-10              0     -1.699e-10              0    -9.5374e-11
       134     3.8245e-11              0     5.1839e-11              0     3.7138e-10              0    -1.8536e-10              0    -1.4622e-10
       135     4.8894e-11              0     5.1933e-11              0     3.1406e-10              0    -1.9933e-10              0    -1.9474e-10
       136     5.8559e-11              0     5.1264e-11              0     2.5395e-10              0    -2.1168e-10              0    -2.4049e-10
       137     6.7118e-11              0     4.9834e-11              0     1.9163e-10              0     -2.223e-10              0    -2.8304e-10
       138     7.4476e-11              0      4.764e-11              0     1.2777e-10              0    -2.3109e-10              0    -3.2201e-10
       139     8.0533e-11              0     4.4703e-11              0     6.2948e-11              0    -2.3798e-10              0    -3.5706e-10
       140     8.5221e-11              0     4.1041e-11              0    -2.1444e-12              0    -2.4291e-10              0    -3.8788e-10
       141     8.8483e-11              0     3.6683e-11              0    -6.6869e-11              0    -2.4583e-10              0    -4.1421e-10
       142     9.0254e-11              0     3.1674e-11              0    -1.3062e-10              0    -2.4673e-10              0    -4.3591e-10
       143     9.0497e-11              0     2.6059e-11              0    -1.9278e-10              0    -2.4561e-10              0    -4.5283e-10
       144     8.9237e-11              0     1.9878e-11              0    -2.5268e-10              0    -2.4248e-10              0    -4.6481e-10
       145     8.6441e-11              0     1.3199e-11              0    -3.0978e-10              0    -2.3739e-10              0    -4.7186e-10
       146     8.2129e-11              0     6.0808e-12              0    -3.6353e-10              0    -2.3038e-10              0    -4.7401e-10
       147     7.6348e-11              0    -1.4093e-12              0     -4.134e-10              0    -2.2155e-10              0    -4.7127e-10
       148     6.9145e-11              0    -9.2008e-12              0    -4.5889e-10              0    -2.1097e-10              0    -4.6377e-10
       149      6.057e-11              0    -1.7217e-11              0    -4.9961e-10              0    -1.9875e-10              0    -4.5168e-10
       150     5.0701e-11              0    -2.5384e-11              0    -5.3516e-10              0    -1.8503e-10              0    -4.3523e-10
       151     3.9641e-11              0     -3.362e-11              0     -5.652e-10              0    -1.6993e-10              0    -4.1461e-10
       152     2.7488e-11              0    -4.1848e-11              0    -5.8946e-10              0    -1.5361e-10              0    -3.9012e-10
       153      1.436e-11              0    -4.9986e-11              0    -6.0772e-10              0    -1.3623e-10              0    -3.6207e-10
       154     3.7463e-13              0    -5.7956e-11              0    -6.1985e-10              0    -1.1796e-10              0    -3.3084e-10
       155    -1.4326e-11              0    -6.5679e-11              0    -6.2573e-10              0    -9.8971e-11              0    -2.9678e-10
       156    -2.9607e-11              0     -7.308e-11              0    -6.2535e-10              0    -7.9447e-11              0    -2.6031e-10
       157    -4.5313e-11              0    -8.0083e-11              0    -6.1873e-10              0    -5.9576e-11              0    -2.2181e-10
       158    -6.1294e-11              0    -8.6622e-11              0    -6.0597e-10              0    -3.9544e-11              0    -1.8176e-10
       159    -7.7393e-11              0    -9.2628e-11              0    -5.8724e-10              0     -1.954e-11              0    -1.4058e-10
       160    -9.3438e-11              0    -9.8037e-11              0    -5.6273e-10              0     2.5219e-13              0    -9.8678e-11
       161    -1.0928e-10              0     -1.028e-10              0    -5.3274e-10              0      1.965e-11              0    -5.6544e-11
       162    -1.2476e-10              0    -1.0685e-10              0    -4.9758e-10              0     3.8477e-11              0    -1.4606e-11
       163    -1.3971e-10              0    -1.1016e-10              0    -4.5763e-10              0     5.6566e-11              0     2.6747e-11
       164    -1.5399e-10              0    -1.1269e-10              0    -4.1332e-10              0     7.3757e-11              0     6.7045e-11
       165    -1.6743e-10              0    -1.1439e-10              0     -3.651e-10              0     8.9902e-11              0     1.0594e-10
       166    -1.7991e-10              0    -1.1525e-10              0     -3.135e-10              0     1.0486e-10              0     1.4302e-10
       167    -1.9129e-10              0    -1.1525e-10              0    -2.5903e-10              0     1.1852e-10              0     1.7797e-10
       168    -2.0143e-10              0    -1.1438e-10              0    -2.0226e-10              0     1.3076e-10              0     2.1044e-10
       169    -2.1023e-10              0    -1.1263e-10              0    -1.4378e-10              0     1.4149e-10              0     2.4015e-10
       170    -2.1758e-10              0    -1.1001e-10              0    -8.4182e-11              0     1.5063e-10              0     2.6685e-10
       171     -2.234e-10              0    -1.0653e-10              0    -2.4067e-11              0     1.5813e-10              0     2.9031e-10
       172     -2.276e-10              0    -1.0222e-10              0     3.5954e-11              0     1.6394e-10              0     3.1035e-10
       173    -2.3013e-10              0    -9.7086e-11              0     9.5278e-11              0     1.6803e-10              0     3.2683e-10
       174    -2.3092e-10              0    -9.1177e-11              0     1.5331e-10              0     1.7039e-10              0     3.3963e-10
