%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
       136     -0.0014207              0      -0.011657              0    -0.00071865              0      -0.011657              0     -0.0024792
       137     -0.0018387              0      -0.010827              0    -0.00068123              0      -0.010827              0     -0.0018829
       138     -0.0022507              0     -0.0098916              0    -0.00064396              0     -0.0098916              0     -0.0012779
       139     -0.0026506              0     -0.0088599              0    -0.00060711              0     -0.0088599              0    -0.00067185
       140     -0.0030344              0     -0.0077435              0    -0.00057064              0     -0.0077435              0    -6.8972e-05
       141     -0.0033971              0      -0.006554              0    -0.00053466              0      -0.006554              0     0.00052484
       142     -0.0037336              0     -0.0053046              0    -0.00049927              0     -0.0053046              0      0.0011031
       143     -0.0040397              0     -0.0040087              0    -0.00046451              0     -0.0040087              0      0.0016605
       144      -0.004312              0      -0.002679              0    -0.00043018              0      -0.002679              0      0.0021937
       145     -0.0045464              0     -0.0013303              0    -0.00039639              0     -0.0013303              0      0.0026969
       146     -0.0047397              0     2.3596e-05              0    -0.00036306              0     2.3596e-05              0      0.0031659
       147     -0.0048891              0      0.0013687              0    -0.00033006              0      0.0013687              0       0.003597
       148     -0.0049919              0      0.0026912              0    -0.00029732              0      0.0026912              0      0.0039867
       149     -0.0050465              0      0.0039774              0    -0.00026476              0      0.0039774              0      0.0043318
       150     -0.0050513              0      0.0052143              0    -0.00023226              0      0.0052143              0      0.0046299
       151     -0.0050051              0      0.0063895              0    -0.00019968              0      0.0063895              0      0.0048788
       152     -0.0049076              0      0.0074913              0    -0.00016691              0      0.0074913              0      0.0050769
       153     -0.0047585              0      0.0085089              0    -0.00013384              0      0.0085089              0      0.0052228
       154     -0.0045588              0      0.0094323              0    -0.00010035              0      0.0094323              0      0.0053165
       155     -0.0043091              0       0.010253              0    -6.6342e-05              0       0.010253              0      0.0053573
       156     -0.0040114              0       0.010963              0    -3.1697e-05              0       0.010963              0      0.0053462
       157     -0.0036672              0       0.011556              0     3.6516e-06              0       0.011556              0      0.0052835
       158     -0.0032796              0       0.012026              0     3.9798e-05              0       0.012026              0      0.0051712
       159     -0.0028512              0       0.012371              0     7.6806e-05              0       0.012371              0       0.005011
       160     -0.0023847              0       0.012587              0     0.00011465              0       0.012587              0      0.0048041
       161     -0.0018849              0       0.012674              0     0.00015343              0       0.012674              0      0.0045545
       162     -0.0013554              0       0.012631              0     0.00019313              0       0.012631              0       0.004265
       163    -0.00079984              0       0.012461              0     0.00023365              0       0.012461              0      0.0039377
       164    -0.00022409              0       0.012166              0     0.00027507              0       0.012166              0      0.0035781
       165      0.0003682              0       0.011751              0     0.00031718              0       0.011751              0      0.0031883
       166     0.00097088              0       0.011221              0     0.00036003              0       0.011221              0      0.0027742
       167      0.0015798              0       0.010583              0     0.00040337              0       0.010583              0      0.0023386
       168       0.002189              0      0.0098442              0     0.00044716              0      0.0098442              0      0.0018872
       169      0.0027935              0      0.0090135              0      0.0004912              0      0.0090135              0      0.0014238
       170      0.0033878              0      0.0081006              0     0.00053534              0      0.0081006              0     0.00095372
       171       0.003967              0      0.0071157              0     0.00057933              0      0.0071157              0     0.00048098
       172      0.0045255              0      0.0060699              0       0.000623              0      0.0060699              0     1.0774e-05
       173      0.0050588              0      0.0049747              0     0.00066606              0      0.0049747              0     -0.0004528
       174      0.0055617              0      0.0038419              0     0.00070832              0      0.0038419              0    -0.00090484
       175      0.0060299              0      0.0026838              0     0.00074947              0      0.0026838              0     -0.0013414
       176       0.006459              0      0.0015126              0     0.00078922              0      0.0015126              0     -0.0017585
       177      0.0068449              0     0.00034081              0     0.00082737              0     0.00034081              0     -0.0021514
       178      0.0071841              0    -0.00081958              0     0.00086356              0    -0.00081958              0     -0.0025172
       179      0.0074732              0     -0.0019565              0     0.00089755              0     -0.0019565              0     -0.0028522
       180      0.0077096              0     -0.0030585              0     0.00092899              0     -0.0030585              0     -0.0031535
       181      0.0078907              0     -0.0041146              0     0.00095761              0     -0.0041146              0     -0.0034187
       182      0.0080145              0     -0.0051142              0     0.00098317              0     -0.0051142              0     -0.0036449
       183      0.0080796              0     -0.0060476              0      0.0010054              0     -0.0060476              0     -0.0038303
       184      0.0080849              0      -0.006906              0      0.0010239              0      -0.006906              0     -0.0039736
       185      0.0080301              0     -0.0076813              0      0.0010386              0     -0.0076813              0     -0.0040735
       186       0.007915              0     -0.0083666              0      0.0010492              0     -0.0083666              0     -0.0041295
       187      0.0077402              0     -0.0089558              0      0.0010555              0     -0.0089558              0     -0.0041411
       188      0.0075067              0      -0.009444              0      0.0010572              0      -0.009444              0     -0.0041084
       189      0.0072159              0     -0.0098275              0      0.0010542              0     -0.0098275              0     -0.0040322
       190      0.0068699              0      -0.010104              0      0.0010464              0      -0.010104              0     -0.0039135
       191      0.0064712              0      -0.010271              0      0.0010337              0      -0.010271              0     -0.0037534
       192      0.0060225              0      -0.010329              0      0.0010159              0      -0.010329              0     -0.0035539
       193      0.0055273              0      -0.010279              0     0.00099302              0      -0.010279              0     -0.0033172
       194      0.0049892              0      -0.010123              0     0.00096504              0      -0.010123              0     -0.0030456
       195      0.0044124              0     -0.0098643              0     0.00093193              0     -0.0098643              0     -0.0027423
       196      0.0038012              0     -0.0095063              0     0.00089377              0     -0.0095063              0     -0.0024101
       197      0.0031603              0     -0.0090546              0     0.00085064              0     -0.0090546              0     -0.0020525
       198      0.0024948              0     -0.0085154              0     0.00080263              0     -0.0085154              0     -0.0016733
       199      0.0018098              0     -0.0078954              0      0.0007499              0     -0.0078954              0     -0.0012764
       200      0.0011106              0     -0.0072025              0     0.00069265              0     -0.0072025              0    -0.00086558
       201     0.00040285              0     -0.0064451              0     0.00063109              0     -0.0064451              0    -0.00044519
       202    -0.00030807              0      -0.005632              0     0.00056547              0      -0.005632              0     -1.949e-05
       203     -0.0010165              0     -0.0047727              0     0.00049609              0     -0.0047727              0     0.00040729
       204     -0.0017169              0     -0.0038771              0     0.00042325              0     -0.0038771              0     0.00083076
       205     -0.0024037              0      -0.002955              0     0.00034731              0      -0.002955              0      0.0012467
